dataset,model_a,model_b,dimension,user_id,effective_preference,system_average_ndcg_winner,align_system_average_ndcg,user_ndcg_a,user_ndcg_b,user_ndcg_winner,align_user_ndcg,user_recall_a,user_recall_b,user_recall_winner,align_user_recall
amazon_books,gbaf,concat_mlp,balanced,3606,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,4473,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,11974,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,4611,gbaf,gbaf,1,0.3010299956639812,0.0,gbaf,1.0,1.0,0.0,gbaf,1.0
amazon_books,gbaf,concat_mlp,balanced,5044,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,11455,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,5158,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,1322,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,1866,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,10368,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,8680,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,3864,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,5268,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,1015,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,2794,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,balanced,5564,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,11134,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,7688,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,11974,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,4457,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,5237,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,1754,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,11577,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,900,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,1322,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,1866,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,10368,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,diversity,9111,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,7688,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,11974,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,4457,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,5237,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,1754,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,12090,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,5044,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,11577,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,9664,concat_mlp,gbaf,0,0.0,1.0,concat_mlp,1.0,0.0,1.0,concat_mlp,1.0
amazon_books,gbaf,concat_mlp,novelty,11455,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,5158,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,900,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,1322,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,1866,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,10368,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,8680,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,552,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,10324,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,6638,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,1804,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,8679,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,2553,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,novelty,12068,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,4270,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,1937,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,11974,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,10134,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,1754,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,4611,gbaf,gbaf,1,0.3010299956639812,0.0,gbaf,1.0,1.0,0.0,gbaf,1.0
amazon_books,gbaf,concat_mlp,relevance,12090,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,5044,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,9664,gbaf,gbaf,1,0.0,1.0,concat_mlp,0.0,0.0,1.0,concat_mlp,0.0
amazon_books,gbaf,concat_mlp,relevance,11455,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,6885,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,1322,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,1866,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,10368,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,8680,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,3864,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,9111,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,4263,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,1015,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,2794,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,concat_mlp,relevance,12068,concat_mlp,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,11134,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,4473,fixed,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,4457,fixed,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,12090,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,9664,fixed,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,6885,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,900,fixed,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,1866,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,906,fixed,gbaf,0,0.0,0.0,TIE,,0.0,0.0,TIE,
amazon_books,gbaf,fixed,balanced,2794,gbaf,gbaf,1,0.0,0.0,TIE,,0.0,0.0,TIE,
